I/E,N/S,T/F,J/P,Essay
I,N,T,J,"Life has taught that it is about nothing but opportunities,and how you as an individual take advantage of the it presents to you is a choice.I read about the Explore Data Science Academy on a Facebook Group and decided to take the online test which i personally  thought it was an impossible test to pass.However i made it to the Academy.

The decision to take the internship and move to Cape  Town was not easy.I love to travel and challenge challenge myself to new things this was an opportunity i could not pass on.

My experience at the Academy has been nothing but exciting and challenging.Every sprint that we do is different and exciting,and that is my favourite part about how this programme is structured.I love how we working with real world problems and having the privilege to learn a lot of things in 4 weeks,yes our sprints run for only 3 weeks,so the stress levels are weirdly exciting.

The end of each sprint is a major success and a celebration,mostly because i feel it brings me closer to being a better Data Scientist. Working with data is amazing and interesting to figure out what you can actually do with it. Before i started at the academy i knew what data is and the importance of saving it,however i did not know the how far one could go as far as data is concerned.I learned that data can be used for decision making,which is a critical decision for a  business,so you definitely want to make sure that your data analysis skills are on point.

I meet the most amazing and very intelligent people at the Academy.Everybody has different backgrounds on their career path,and to see everybody coming together and merging simultaneously into one team and growing together as one is just amazing to observe. We have students who studied Engineering ,Actuarial Science,IT and etc,but all together we are one team and go by the name EDSA.

The Academy is amazing.The amount of work that the student puts in is inspiring to me because i tend to be a bit a bit lazy.I particularly like the we as student initiated to have pop up classes to help each other so that no one gets left behind. 

For every project that we do we work in a team of five.I guess i'm lucky because all the teams that i have worked in where phenomenal. The  team dynamics are always about Positive Vibes. We understood each other’s strengths and weaknesses. We worked really well as a group and always did our best to make sure that at the end of the project we grasped as much as there is to learn within the project scope.Every idea brought forward by a team member is always considered.We always do the pros and cons of every idea to evaluate if it has any impact to the deliverable or not and of course “the majority rules” is often used where necessary. 

I am confident to say that am i building a strong foundation towards becoming a good Data Scientist and putting the skills i have acquired into the corporate place and overall use data to make a difference to my country. There’s no other place i would  rather  spend the year 2018 than the EDSA."
E,N,F,J,"It was early January 2018 when i embarked on a journey from Pretoria to cape town, new city, new surrounding, new culture and most importantly new people. I was totally looking forward to this new experience and walking into the unknown, yes i had my own expectations and assumptions about the academy and Cape Town in general and today i’m glad to say most of them are disproved. 

From the day i first walked into the academy, I easley  introduced myself and spoke to most of the students whom i’ve never met before and i even got myself a lunch buddy on the day. I enjoyed making new friends and potential business partners maybe and mostly i have made lifetime friends whom i could have never met if it was not for EDSA.

The methods that are used by the academy to work through our projects  are great and is something that i have always wished for, i learn better by application. As for group work is something i have been doing for the past few years back, the challenges that i faced was actually getting out of my comfort zone to make tough decisions, through working with people with different personalities hard workers,slow learners and those who don't want to work at all.

I mostly appreciate our couch what she has taught me, methods to corporate with workload and how to communicate and work much better with people of difficult and any other personalities, the team dynamics i have learned are awesome and more than what i expected.

The team dynamics i learned helped me and my teammates to make decisions that we might all be happy with, but being of the best for the group and having everyone understanding that. This methods are very different to the way i personally make decisions and i think this is becoming the best to adopt for all my decision making even on personal matters.

In general i have had an awesome experience here at EDSA than i anticipated, my fears are eliminated completely i feel so much confident of my developed and developing skills in this field. I can not say enough about the opportunities EDSA bring for us, the networking events and the potential employers that are always coming into our Lab. Explore Data Science Academy is by far the best thing that has ever happened to me. I highly appreciate what Explore software and BCX have for us."
I,N,T,J,"Its been six months at the Explore Data Science Academy for me. A lot has happened and a lot has been learned. The way the program and the academy is setup has not only provided an opportunity to learn  Data Science skills but also an opportunity to work with people who are quite different and some similar to you. 
Meeting different people with different cultures, social background, academic background and level has been quite intriguing. I came with a descent Mathematics background, having done a maths major at university. So in the first group I was in the other four members brought different set of skills altogether. One came from an economics and markerting background which helped us a lot in presentation, another studied actuarial science and has worked as junior statistician for quite a number of years so he really helped us and I learned a lot from him as far as analysis and how to think about a problem is concerned.  We also had a group member with a degree in Computer Science and as a person who came here with very little programming knowledge she was really helpful and taught me a lot. The last one brought organisation skills even though she came with a Statistics background also and working with her has helped me organise my work and time better.  All in all working in a team with a mixture of people who bring different sets of skills and abilities with them has been helpful and taught me many things so far. 

One of the things that has made the learning to be possible as well is the way the lab is setup, even though we work in different teams it doesn't mean you can't go to other teams and ask for questions on matters you need a better insight of.  And almost everyone is always keen to help each other. I think the only negative experience I have is when I have had to work with people who are strong personalities because they almost all the time marginalize other people's inputs when we having meetings but the way I try to resolve this is to take both sets of arguments to the supervisor. Supervisor always guide by asking questions which may lead you to a solution that the group had a question in. 
Lastly, we all know South Africa comes from a history of racial divisions and the way almost everyone is integrating with each other here whether through work or social has been quite impressing. The environment has made me proud to be a South African and learning data science at the Explore Data Science Academy ."
I,N,F,J,"Since joining the EDSA community in January, my experience has been great. I 
have learned a lot of new and exciting things. My mind was a bit rusty in the 
beginning of the year as i found it a challenge to adjust to being a fulltime student again
 after years of not being in the  classroom. I became a little bit demotivated with 
the slow progress i was making, however things have changed with now. Thanks to the 
constant support from the students and the stuff. 


Being in the same room with an army of talented young minds in South Africa, exchanging
 ideas and seeing them come to life is a privilege that i would not trade for anything. You get challenged to do your best all the time. Sometimes you feel like you have reached a brick
 wall and there is nowhere to go. But something special happens when we come together
 as a team we start seeing mountains as maul hills and it becomes easier to climb what 
seemed like Mount Kilimanjaro. I have learned that there are just some things you cannot do 
On your own, you need to trust others to do it. 

The one big lesson i have learned about working in teams is the importance of effective communication. Without communication, it doesn't matter how much talented and skilled you team is. If you don’t know how to communicate effectively you are bound to fail. One such experience was in my very first team where a lot of problems creeped in and everyone kept quiet until the problem became overwhelmingly big and caused us a lot marks at the end of 
the sprint.

Working in teams makes one to realise that people are different and as such you have to take time to understand each and every individual beyond the surface level in order see things from their point of view. This makes it easier to get along and approach each person in a manner that is appropriate. In that way we are better able to leverage off each others strengths to accomplish our team projects without ruffling each others feathers. 

There is so much to learn in so little time, one has to learn to manage their time efficiently in order to get things done. Constantly finding better ways of improving my time management skills
and more effective approaches to learning. Overall  I am  forever grateful for the opportunity to learn skills that are sure to improve the lives of many people. I am passionate  about helping people to live healthy lives and these skills that i have learned will help me to be able to do just that."
I,N,T,J,"At the start of our year at the academy,  I was so afraid of meeting lots of people from the different racial group, and I was wondering how will, I cope cause some of us are more advanced in terms of knowledge, and That really intimidated me.  As time goes I started to be more Comfortable with the environment. I had some experience that was Bad and good. Working together in the lab was an easy thing to do Cause it gave me a platform to talk to my peers and when I had struggles regarding the work it was easy asking someone next to me.

When we were about to start working on our first project as a group 
I was really lost cause water crisis was something that I didn't know about and my group members were having the discussion about what can be done to solve this crisis and I was like where are these people getting all of this information? and not know about the subject in hand really made to feel inferior to my mates. So we started the assignment and I didn't know what to do or where to start so I spend a lot of time doing research until I found out what should be done, but my group members were not helpful at all, and what really causes me to end up not participating at the group was that my points were not being valued when it comes to discussion. 

Apart from bad experience, I had such a fruitful year with so much learning and after the first group assignment were divided into groups, of which one of them was Apollo, and in Apollo I related with my teammates because I felt like we are on the same level, and that made me feel to be more confident than the last sprint.

Team dynamics, in a team you won't always have it your way so from my first sprint there was a competition instead of collaboration, and that what drove us apart ending up to people doing the group work.
In Apollo, we have a structure of a team and decisions that we take its something we all agreed on.

The decision was being made rational, and considering emotions because making a decision with your team without considering emotions of other team members will always have a bad impact on a team, but the most important thing we have that in the groups that I was in was to reach a compromise whenever we were arguing about something"
I,N,T,J,"The Academy is so far one of the most interesting experiences I've experienced. So far it is a great experience.

Meeting so many people, was a bit challenging at the beginning, but when I started to form friendships, it started to get better and it became easier to talk to people. I made a few close friends, and these friends I trust  can share ideas and thoughts with them.

The Lab is really a very nice place to work in. It has a relaxing atmosphere and is comfortable. I never felt uncomfortable in the lab and everyone in the lab is respectful of each other’s space. Working in lab is also very productive because there is a sense of hard work when you walk into the lab. Everyone concentrates in the lab and work gets done. If I had to work from home, I would not have been able to accomplish as much as I did so far. The people around me motivates me to work hard, but after a day of working in the lab and being around so many people drains me physically, mentally and emotionally, but if I take breaks during the day, I’m not as drained and can tackle work again.

Team work I felt is a very good way of getting a lot of work done, if a team works together. In some of my teams there were individuals that did not work, which made it frustrating, but I think we(the team/s) handled each situation good, as we still managed to get all the work done. Some of the other team mates was just great to work with, especially if they are also motivated and have great ideas. 

In the first team we divided the work between the group members evenly. I personally feel that in some case that was a good strategy, but in other case it was not the best. For part of each sprint individual work is needed, but I think working on the main parts such as the dashboard requires the entire team’s input. 

Decisions were mainly made by the teams as a whole. Solutions would be discussed and as a group we would decide on the best solution to problems. Sometimes emotions was involved, but that was on only selective days and majority of the time logic and facts played a big role in decision making."
I,N,T,J,"My reflections in the Academy , it gets better and  better everytime, first few months were hard as i had it hard to adapt to the environment and the people i was placed with, but i am grateful for the support they always offered and how well we always collaborated and ensured that we do what had to be done at all times

working in the lab i always found it convenient as i can be able to ask any assistance from anybody close to me or any of the supervisors for clarity at any time given, working in teams is always challenging as we are different people who learn not the same way, some possess a certain skill, while others having other skill to prove and together in most cases it helped us a lot as we would share the work among ourselves and get the best results we could with what knew best

When it comes to the decision making , in all the previous groups i participated in ,we always checked what was expected of us from the rubric, then we would either volunteer to do the parts of the projects individually or the team leader would delegate who does what and we will all sit down and see if ever they are all in line with whats needed,and fix where they need fixing, it would get rational as other people would feel they are not treated fairly and equally and the part of the work is not given much credit like others, and we always argued but at the end got a solution to it all, but all in all i am grateful of the experience and the skills i am still getting up to so far."
I,N,F,P,"My experience at the academy has been bitter sweet. I arrived here with much excitement and eagerness to change the world but, much to my dismay, I was soon crushed to bits by the awareness of my lack of knowledge and understanding. At first, and for quite some time, this affected my self-confidence and evidently my performance within my groups as well. This was a function of the fear of failure. The moment I started doing much better was when I properly understood that things really do take time to manifest and only after having tried and tested many terrible ideas will we reach a better level of understanding. I was an A to Z thinker, fretting over A, obsessing over Z and forgetting all about B through Y. I'm developing a greater level of self efficacy and I now understand that I falsely assumed that things would change over night. That kind of thinking resulted in poor decision making, I was consumed by the self and not connecting with the team for assistance and improving and growing with them. I falsely assumed that I should be able to do everything by myself, perhaps as a function of comparing myself with the high performers. The teams I have been in had very intelligent people who have doubts in their abilities, perhaps for the same reason as myself. They have a fear that they are inadequate. This has made decision making a little tough especially when there needed a bit of assertiveness, we are mostly introverted which made it difficult to raise issues that are emotionally uncomfortable to deal with so we let it slide or didn't deal with it in the best manner possible. There is also a fear of asking for help when we were overwhelmed, something we all exhibited although some of us more than others. The good thing, or rather the best thing, about the entire experience is that I have been able to reach the point where I am aware of the limitations we place on ourselves especially my toxic habits that stunt my own growth, the first step to being able to do something about it is acknowledging. The hardest part is now moving from self-awareness to action but at least now we understand that it will take time and we have to do a little everyday and it doesn't stop when the year is done. The learning never stops but there is no reason to be scared by the magnitude of it all, we should rather be excited by all there is to learn. We can't know everything about anything anyway, chasing perfection is emotionally and physically exhausting. Things are and will continue to be tough because change is/keeps occurring and change is always tough to deal with. However, being able to go through all of this with others and has been an amazing experience, one that I would not trade for anything else. The valuable thing I have learnt is that emotions cloud our judgement and that affects our performance, the use of logic at the height of our stress helps us stop emotions from clouding our judgement and making us make irrational decisions. The real value of our education won't be seen in the results of our sprints or belt scores but the impact we make in our own lives and ultimately wherever we find beyond the academy. We keep learning, learning about Data Science and, most importantly, learning about ourselves and the world around us."
I,N,F,J,"The realization that I had to go to a new place and meet new people was quite daunting at first. Mainly because it has been a while since I have been in this kind of an environment and change is never comfortable. It was really difficult to identify people that would be potential friends, because most people at the academy seemed like they had preconceived thoughts about who is who based on how you look, people you hangout with, how you speak and so on. But the opportunity to be at the academy is very much appreciated because it would help me grow as a person and grow my career and the skills that we learn here are important for me to be able to explore other career avenues without limitations, this is because what we learn on a daily basis are skills of the future of work. Working with different people is always difficult because at first we do not take the time to try and understand each others strengths and weaknesses, and giving people a benefit of a doubt in some instances. It is more like you only have one chance to prove yourself that you are this person, otherwise circumstances and the environment kind of put you in a box if you not careful. It has been quite an experience working with other people because I have learned a lot from other people than I have by myself. I got a glimpse of how other people work, think and approach problems and tasks we do on a daily basis. That helped a lot because it assisted me to re-evaluate my strategies of doing tasks, especially where I felt I was lacking. Then there are also people that seem not to care about putting an effort in the groups, maybe because of fear of being judged or laughed at or whatever insecurities that one might have. Whenever I'm in a new team I try not to impose my thoughts or ideas onto other people. It is more of giving other people a chance to express themselves and where they lack in terms of coming up with ideas, I try to complement with a different view or idea, and when they do well I learn from them. Most of the time you learn a lot by listening to what other people are saying than always talking and imposing your ideas on them. The decision making process has to be a rational one, but at times it can be emotional especially when you have people who make fun of other people's thoughts, ideas etc, or just rejecting other people's thoughts and ideas in a manner that would seem demeaning to other to other people, it is about finding the right balance by being considerate."
I,S,T,J,"After spending two years doing internship at the National Treasury, joining EDSA has been an exciting and overwhelming moment for me because i had to relocate to cape town and that was not easy. However, meeting new people and learning new stuff has been amazing and i have learned that sometimes you need to get out of your comfort zone for you to explore the world out there.

Working as a team taught me that people are different and i must accept and respect how other people are regardless of my own perspective. Sometimes, while working as a group you may find out that others are not participating in group work however, you don't have to rely on others while you can still do the work because the purpose of me being here is to learn. It was not easy for me in the group that i was in to participate because whenever i ask for assistance from my fellow group member, they use to say that they are not here to assist me which made it difficult to some of us in a group to feel comfortable until Nuri and John intervene.

While working, there are challenges that come along the way.  Having Nuri as my coach at the academy has been helpful and i am grateful for the role that she play at the academy. She understand that people come from different background and encounter different challenges in life.whenever i feel that i am not coping and i need someone to talk to, she is always there to listen and assist me.

Making decision in a group has been a challenge because some of the decisions was not easy. For example, if someone is not participating in a group. We decided to work as if that other person is not part of group because if we agree on certain thing and others decided not to do the work  and fail to be  accountable there’s nothing we can do other that doing the work that he/she was suppose to do.

In EDSA, i have learned to apply my knowledge practically because the material provide you with recommended reading and give insightful knowledge. It is all able understanding, thinking and applying what i have learn which is good."
E,S,T,J,"I am writing this essay to give a feedback on my experience so far at Explore-Data Science Academy. In just over six months, the growth has been immense, exposed to different characters and saw how different people collaborate to achieve a common goal. Through this, decision-making and interpersonal skills have been sharpened as we switched teams. Also, the main core: programming skills, have been enhanced. 

I was thrilled with the prospect of meeting different kinds of people as that undoubtedly meant growth in terms of interpersonal skills, alertness, information, and more, would be achieved. It was even more intriguing to note that I was associated with people who shared the same goal as I did: to be a Data Scientist, or at least to be trained as one. Through meeting them and be locked in the same territory, it was clear I would get some skills as to how to learn Data Science, upgrade my interpersonal skills ad polish techniques on how to deal with different characters.

Working together in the lab has been fascinating -- I got to see how smart people study, punctuality, when to take breaks and how to deal with challenges. Most people were very friendly, willing to assist even if they are busy. Then we had to be split into teams of at most five individuals.

A huge amount of growth was when we were split into teams. A team affiliated with individuals with different work ethics, different self-discipline and knowledge, it was fascinating to see a team-leader putting things into place, ensuring a maximum collaboration to achieve a common goal. When things don't go well, most teams kept their cool, taking full advantage of the adequate time given to complete a sprint, to ensure everything is done and every member gained something. Team-dynamics and decision-makings were different with different teams

We made collective decisions, ranging from naming a group to  delegating tasks. However, in one group, the team-leader was more instrumental in key decisions and would largely decide on behalf of a team. Collaboration was absent and it was merely a one-man team. 

This did not resonate with how I make decisions. I prefer consultation, allow people to have their say, check all the risks involved and all the facts, then make an informed decision based on findings and collaboration. In the other groups I was in, collaboration was the ground-rule.

We set ground rules that hindered individuals that make decisions largely influenced by emotions. This ensured that we all acted professionally.

The facilitators were awesome. The structure of the course is second to one. The lab set-up, the meetings we have , the timing of holidays, the pace of the course, all have been great.

In conclusion, the experience so far has been a pinnacle. I grew in confidence. My programming skills have sharpened and working with different individuals has taught me how to work with people, how to be a team-player and how to get the best out of any person."
E,N,F,J,"My experience at the academy has been one of the best learning curve of my life.A good working evnironment with lots of support from our mentors who empowers us to never limit our learning capabilities everyday and  making sure  each day is a learning day yet enjoying our work.
Meeting and working with new people everyday helped me overcome my feelings of inferior
when around young great minds and innovators, especially working in teams because there is a bunch of knowledge of what works with the team buildings and its dynamics which are actually the invisible forces which have quite a strong impact on how a team behaves or performs and their effects can be complex,one of them being ones personality but through it all we managed to overcome the challenges that comes up with it and using it, most importantly sticking to what works for the team that time.Decision making in teams has been quite a heavy one as we have different perspectives and views in everything but at the end team work really worked for me.Decison making helped us to reach understanding of our work and lastly improving our problem solving techniques.There are times whereby you felt like doing things on your own but datascience is team work meaning it  isnt a walk alone  operation its actually a mix of different skills to help give solutions to the worlds hardest problems.To me the programme really taught us what  great individuals we are even within teams.The lab is full of incredible innovators,the future looks bright with all the skills and techniques we learn."
E,N,F,P,"My experience at the academy has been quite something. i love the people I've met and the relationships I've built. Work-wise it has been a bit of a mission, each time a sprint was introduced it seemed...horrible! And i have later on found out that its not that bad. I'm still trying to convince myself that i am cut out for this kind of thing because i have trouble "" knowing "" stuff. I've had some challenges with applying things I've learnt and maybe that's because i don't practice enough (rolling eyes ). I have no doubt though that this is what i want to do with my life ( as well as travelling the world ) . In terms of the teams aspect of the whole thing, i love the idea of working with different people on each sprint. For me it means i take out something from different people and i can expand my knowledge when there are skill-specific needs that must be met. I'm the type of person to make decisions as i go, so having a plan of EVERYTHING way before those things even happen was something else to me. With some groups you find that some people don't welcome last minute changes, however vital they may be for the group. Each person was bringing a piece of themselves to the team and was expecting everyone else to accept it. This is true for me as well. Sometimes I had no idea what was going on and i would just feel horrible. The group coaching though has made a difference in teaching me that just because i can't do something at a certain point that everyone else can do doesn't mean i don't deserve to be here. Everyone is in their lane doing their own race, some have mustangs and others beetles. We will all get there at some point."
I,N,F,J,"when i first came here i did not know what to expect , i met different types of people coming from different places and background, it was a bit of a challenge for me because am an introvert i do not talk much starting a conversation is very difficult for me , i do not know where to begin , luckily they provided a coaching session  for us . after attending that session i noticed that all things changed i was able to communicate with people very well and getting to know them was the fun part.

working together has been great because i got to learn new exciting things that i did not know before , in different teams  we used different team dynamics , on my first team we were working on factors that are affecting water crisis in Cape Town because it was our first project we decided to work together on everything so that we can be able to see who have more skills when it comes to SQL and python and those team members where able to assist  those who have less knowledge, Teaching them how to code.

On the third team we were working on the R.S.A stock Market that was the most interesting project , we already had an idea of what the supervisors are expecting us to do , we decided to divide our work within the team members each and everyone had a part to focus on , at the end of the day , we come together and combine our work then edit where necessary if everything is perfect we submit . the supervisor will give us the feedback .

that helped me to know how to handle both group and individual projects , the skills i acquired am able to use them perfectly . when i do not understand something am able to ask my team members or the facilitators they help us a lot . they can explain things in a easier and understandable way.

Decision making process gets easier as time goes by as long we know what we are looking for . on my previous team we were focusing more on what the marking rubric says and do our work according to it . we never experienced any difficulties because we were all participating .

we agreed that if a person is unable to come to the academy or he/she running late because of certain reason should let us know meaning that person should report so that we can know , if people are not reporting i was getting irritated because these days we have easier ways of communicating we have social media whats app is cheaper , that got me emotional  i do not like people who come late especially if we have a meeting unless if there's a valid reason.

This is the best opportunity for me , and comparing where i was to Today  i realized that i learnt a lot."
I,N,T,J,"Arriving at the Woodstock Exchange on the 22nd of January brought a lot of feelings - excitement, renewed enthusiasm and new found hope that I had somehow lost over the last couple of years.
I had been pondering a lot over the last couple of weeks or you could say few months leading up to arriving at EDSA about what the academy would be like, the different types of people, races, gender and age.
I was pleased to find a nice mix of people from all backgrounds and walks of life in part due to me being able to make new acquaintances and friends in cape town.
The dynamics of working in small teams has not been new to me since i have worked in both small and large, family run and multinational companies.
However, what has been different at EDSA is that there has been a relatively short period of time spent with fellow colleagues and this also done by random selection and may not be done with the end goal in mind.
i have met some really great people, some of which have become friends that i would quite enjoy spending time out of EDSA with, while recently encountered team members that I would rather stay away from and cannot be too chatty with.
Being an introvert does have its downsides - one of which has been not making friends with people possibly out of my groups or that somehow sat away from my workstation.
I really enjoy the sort of hippy geeky culture the WEX has to offer, something I may not have been exposed to previously. the EDSA lab is truly revolutionary, the way it is set up, the fact that all material is online, the flexibility the academy offers on various levels.
Although team dynamics can get challenging, I wouldn’t say I have experienced the worst of it. My fellow team members have been mature for the most part, however I feel there has been a lack of commitment from team members in ensuring they arrive timeously and play their role and contribution towards the key deliverables like presentation preparation.
I do get irritated that people can get rowdy and that as we are in a 'lab' - laboratories are known for their silence and calm atmosphere. This can create a distraction and one can lose focus from the huge amount of material being covered.
Team decision making has been very sporadic, in that as there is or has been no true team leader, the more assertive or outspoken members generally would take the lead in creating a path in which the team could follow.
Although i enjoy working in teams and do believe there is strength in numbers, as there is no real enforcements that each team member should deliver equally, there has been individuals being carried by fellow team members or possibly even other groups.
I try and live by the 'leave your ego at the door before you enter' policy when it comes to a working environment and do that for good reason which always helps."
I,S,F,J,"My experience at the Explore Data Science Academy has been a totally new adventure for me. It has taken me out of my comfort zone and challenged me tremendously. Learning and experiencing new things that I never would of imagined. Meeting more than 100 people at once was overwhelming. Getting to work with different people every 4 weeks was also quite daunting. I tend to be more quiet and shy when I am in new situations. In my very first group I was more of an observer, trying to take in as much as possible because I was very new to the experience. It took me some time to get 'out of my shell' and rise up to the challenge and take the lead. With my other groups I was the coordinater. Taking on more of a leadership role, asking more questions, taking on more responsibility and being more vocal.  It has been a tough challenge working with different personalities, but I have always tried to include all group members and take their advice and opinions into consideration. I would definitely take the skills that I have learnt here at EDSA and apply it to my work environment."
I,N,T,P,"A new city, new people and a completely new environment. I expected to see people dressed in dull colours, all wearing glasses and awkward to talk to. When it comes to the awkward conversation, my predictions were spot on. All else? Vastly different! My experience at the academy is truly encapsulated in three words; discovery, growth and learning. There have been leaps in learning, immense social challenges and a constant need for adaptation. 

One thing that has not been lacking throughout this experience is the wealth of social capital we are privileged to busk in on a daily basis! From the 100 great minds that share the lab to our supervising staff and right out to the events we attend, there is always an exchange of ideas. With every interaction, I cannot help but wonder what the future built by these bright minds will look like. I bet you wonder, “what about when you aren’t drowning in fantasies about 2050?” Well, then I’m screaming in my head is, “Get me out of here quickly!” Some conversations just get stale, but no one seems to find it awkward to simply walk away. Hilarious!

Having individuals from various backgrounds and an environment that encourages learning from each other is awesome! It takes the overwhelming nature of concentrated knowledge and turns it into usable resources. Individuals well-versed in theory share their knowledge and those with practical skills apply this knowledge. Together, they end up building remarkable solutions which would take ages if done alone.

Team dynamics are by far the biggest obstacle. With many different personalities and approaches to problem-solving, there is always some tension in teams. Working in teams has required us to step up our communication game. We all try to make sure that we aren’t misunderstood by teammates. Something we rarely get right. The worst is working with individuals who don’t want to pull their weight. It creates massive imbalances in teams, but comes with invaluable lessons.

I enjoy having autonomy and granting it to others. In all, but one of my team setups, I’ve had the privilege of working in dynamic environments with people who encourage autonomy then working up to collaboration. Unfortunately, life is not a bed of roses so the gruesome challenge came and the results left a lot to be desired. Along with that was a massive blow to my growing fondness to datascience. 

When it comes to decision-making, I prefer consulting everyone and trying to merge any dissenting views. Most at the academy are autocratic and tend to strong-arm fellow teammates into siding with them. Thankfully, there aren’t many passive onlookers so disagreements have always occured and it leads to better quality project submissions. Where decisions are left up to one person, disaster is always a given. 

This year has  been an adventure and tells of remarkable growth. I am convinced that students of this academy will thrive in most professional environments. Adaptation is the name of the game and we’ve got it on point!"
I,N,T,J,"My experience at the academy has been one of the most amazing, and yet challenging,but fun experience one can have in a life time... i have had the opportunity to meet with different people who posses different skills than me, and that has strengthened me very much.
Working with different people is not always easy, it gets challenging especially when different opinions are presented, and at times one is compelled to choose sides, and that is not always easy,because the right side doesn't always favor everyone in the group, hence the principle of compromise comes in.
Personally I am a very friendly and social being,but i sometimes let other peoples ideas over shadow my own, i feel inferior to them because of the amount of educational experience they have or their understanding and interpretation of the work that we do here. 
One of the principles the academy is teaching me is that i have to be confident with my ideas, and that it is okay to make mistakes,but its wiser to learn from those mistakes. Being put in groups with different people teaches a principle of group work, and i guess that is the core thing we need especially for this field.
I am what you can call an emotional being, most of the decisions  i make on my personal life are based on emotions. I constantly have to ask myself whether making a certain decision i make will make me happy and how it will affect those around me,but that can cloud ones judgement especially in a work place. So i have learnt that even though being in tuned with my emotions is not a bad thing,but i have to always be rational and logical in making decisions, and in the ideas i have.
All in all i have really grown and matured in my association and interaction with my fellow colleagues . I have learnt that every idea and opinion matters , and that confidence is everything when putting fourth an idea."
I,S,F,J,"After spending a year at home while it was just my husband and my daughter, coming to EDSA was exciting and overwhelming. Exciting because now i would be doing something i love and overwhelming because i was going to spend a full day with 99 other students in a lab everyday for a year.

As quiet as i am, i was really bothered by the noise, i could not work and be as effective as i wanted to be with someone talking or laughing in the lab, in fact, i would find it very irritating but then i learnt to put my headphones and listen to calming music as i do my work and it finally worked for me. I love the seating arrangements in the academy, it is very easy to ask for help from someone sitting close to you.

A week passed by in the beginning of the year and we were split into teams of 5 members, was so excited meeting fellow members and getting to know their backgrounds but after a week that is when we started having differences. I then realized how difficult it is to work in a team. Because for me being in a team meant helping each other out, working together to reach the team goal, but other members thought divide and conquer was the way to go. That is when i started thinking that maybe working alone was the best thing after all.

In terms of decision making, it was difficult, it is still difficult to make decisions as a team. Team coordinators sometimes tell her/himself that s/he is the captain of the ship and decides what they want without consulting team members. But sometimes every team member gets to make decisions, comes up with ideas, which is so great. 

It is so good to have Nuri, i truly appreciate her presence in the academy as she is always there to talk to. Speaking to her just helps make sense of everything. The group coaching is very helpful as well as i have learnt a lot from them. It also helps to unwind and relax.

What i learnt so far is that everyone in the academy has a different personality and we all bring all those personalities into a team.Its July and there is still a lot of people i do not know in the academy, hopefully i will get to know them before the end of the year."
E,S,F,P,"The Academy has brought nothing but useful and valuable experience to me that I can be able to implement in the outer world . In life, experiences are the fundamental factors of survival during our migration to maturity.Yes, I have experienced challenges in the Academy but that did not stop me from wanting to wake up everyday and learn something new. Even if it means I learn one single thing a day but the importance of coming here is to know that at least today I learnt something new and how ready I am to face real world problems.

At first I was not happy with the changing of teams because I loved my team so much we worked well together but then again this taught me me how to interact with different people. This also helped me develop a skill of  adapting and being comfortable to changes in my life. With the change of groups I was fully committed with everything that's being decided on and we made decisions that will be suitable for everyone. Sometimes we need to put feelings aside and make decisions that will make our project/work a success, put in extra work so that we can achieve good marks. Not everyone will commit to that or want to other people to decide for them, so this taught me that even though it's team work you don't have to depend on people to get the work done you need to work extra hard.Because at the end of the day that is your mark.

The facilitators are always around to help,but I prefer to first struggle with a problem before asking for help. Also my colleagues are very helpful I ask them for help and the are willing to help.You sometimes have them rocking up in your place just to ask if you are still fine with the work without you asking for help. They are so friendly and not judgmental  when you do not understand the content.

In overall my experience at the Academy have been fun and educational. With the things I learnt here at EDSA means I will have hands-on skills and knowledge about Data Science."
